count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
990530,5,"North West",85,Manchester,B5167,Minor,,,381120,390150,53.40783971,-2.28546910,,
990389,5,"North West",85,Manchester,U,Minor,,,383440,402880,53.52233982,-2.25124296,,
990230,5,"North West",85,Manchester,C,Minor,,,385530,391560,53.42065325,-2.21919524,,
990229,5,"North West",85,Manchester,C,Minor,,,387720,394760,53.44947281,-2.18636819,,
990228,5,"North West",85,Manchester,C,Minor,,,384510,403320,53.52632754,-2.23512627,,
990227,5,"North West",85,Manchester,C,Minor,,,387340,399720,53.49404588,-2.19229136,,
990062,5,"North West",85,Manchester,B6393,Minor,,,387380,401400,53.50914729,-2.19175643,,
967009,5,"North West",85,Manchester,U,Minor,,,388275,396859,53.46835206,-2.17809083,,
967008,5,"North West",85,Manchester,U,Minor,,,385563,397262,53.47190640,-2.21896187,,
967007,5,"North West",85,Manchester,U,Minor,,,384919,389980,53.40643447,-2.22831338,,
967006,5,"North West",85,Manchester,U,Minor,,,384586,398117,53.47956341,-2.23372222,,
967005,5,"North West",85,Manchester,U,Minor,,,384494,396897,53.46859541,-2.23504838,,
951812,5,"North West",85,Manchester,U,Minor,,,385778,400278,53.49902105,-2.21586017,,
951810,5,"North West",85,Manchester,U,Minor,,,382797,392229,53.42658404,-2.26035658,,
951808,5,"North West",85,Manchester,U,Minor,,,384397,401399,53.50905750,-2.23673415,,
951807,5,"North West",85,Manchester,C,Minor,,,382034,388247,53.39076670,-2.27161068,,
951806,5,"North West",85,Manchester,C,Minor,,,384315,395200,53.45333679,-2.23766007,,
951776,5,"North West",85,Manchester,U,Minor,,,388965,397537,53.47446131,-2.16772088,,
951765,5,"North West",85,Manchester,U,Minor,,,386161,395799,53.45877270,-2.20988847,,
951749,5,"North West",85,Manchester,U,Minor,,,382431,393178,53.43510244,-2.26591787,,
950152,5,"North West",85,Manchester,B5093,Minor,,,384959,392520,53.42926582,-2.22783343,,
944481,5,"North West",85,Manchester,U,Minor,,,386091,393881,53.44153111,-2.21085720,,
944480,5,"North West",85,Manchester,U,Minor,,,381620,393920,53.44174418,-2.27816873,,
944479,5,"North West",85,Manchester,U,Minor,,,386448,402208,53.51638642,-2.20584425,,
944478,5,"North West",85,Manchester,U,Minor,,,385185,401737,53.51211854,-2.22486871,,
944475,5,"North West",85,Manchester,U,Minor,,,385133,393067,53.43418759,-2.22524068,,
944474,5,"North West",85,Manchester,U,Minor,,,385691,395885,53.45953313,-2.21697072,,
944473,5,"North West",85,Manchester,U,Minor,,,385389,396445,53.46455826,-2.22154508,,
944472,5,"North West",85,Manchester,U,Minor,,,386374,403820,53.53087376,-2.20703111,,
944470,5,"North West",85,Manchester,U,Minor,,,389257,396730,53.46721381,-2.16329377,,
944469,5,"North West",85,Manchester,U,Minor,,,383819,397242,53.47167598,-2.24523436,,
944468,5,"North West",85,Manchester,U,Minor,,,384530,392713,53.43098820,-2.23429965,,
944467,5,"North West",85,Manchester,U,Minor,,,383633,398060,53.47902237,-2.24807890,,
944466,5,"North West",85,Manchester,U,Minor,,,381115,388131,53.38969175,-2.28542179,,
944465,5,"North West",85,Manchester,U,Minor,,,384629,402000,53.51446640,-2.23326580,,
944464,5,"North West",85,Manchester,U,Minor,,,381794,392940,53.43294153,-2.27549247,,
944463,5,"North West",85,Manchester,U,Minor,,,384412,397960,53.47814712,-2.23633615,,
944462,5,"North West",85,Manchester,U,Minor,,,380755,388693,53.39473020,-2.29086942,,
