objectid,description,road_number,eventtype,natureofworks,formattedeventnumber,opendata,scheduledplannedenddate,scheduledplannedstartdate,globalid,Shape__Length
7377788,"A3 northbound Milford.
Slip road and lane closures for drainage work.
",A3,Programmed Routine Works,Drainage,00394349-001,14 Days,2026/03/04 06:00:00+00,2026/03/03 21:00:00+00,471a9770-0fe0-416b-8a78-5f38e1eccb2c,528.972510109925
7377789,"A3 northbound Milford.
Slip road and lane closures for drainage work.
",A3,Programmed Routine Works,Drainage,00394349-001,14 Days,2026/03/04 06:00:00+00,2026/03/03 21:00:00+00,756803c8-848a-4e19-930c-29fca7af0e8c,590.000025843857
7377790,"A34 southbound Chilton.
Slip road and lane closures for drainage work.
Diversion via National Highways network.",A34,Programmed Routine Works,Drainage,00403116-001,14 Days,2026/02/21 06:00:00+00,2026/02/20 21:30:00+00,b0950619-fcc2-4efd-aa35-aa0f0d9509c8,306.30067247398
7377791,"M62 westbound Jct 27 to Jct 25, M606 southbound Jct 2 to Jct 26
Carriageway closure for electrical works
Diversion Local authority ",M62,Area Schemes,Electrical Works,00465722-001,14 Days,2026/02/24 06:00:00+00,2026/02/23 20:00:00+00,4c619f92-026d-4b31-a107-8d923b394781,1276.30450497306
7377792,"M62 westbound Jct 27 to Jct 25, M606 southbound Jct 2 to Jct 26
Carriageway closure for electrical works
Diversion Local authority ",M62,Area Schemes,Electrical Works,00465722-001,14 Days,2026/03/03 06:00:00+00,2026/03/02 20:00:00+00,24df13ae-dbbb-4e74-8256-788824807bde,1276.30450497306
7377793,"M62 westbound Jct 27 to Jct 25, M606 southbound Jct 2 to Jct 26
Carriageway closure for electrical works
Diversion Local authority ",M62,Area Schemes,Electrical Works,00465722-001,14 Days,2026/02/25 06:00:00+00,2026/02/24 20:00:00+00,c0f6478c-3575-4c93-b83b-5912ff1f47f2,1276.30450497306
7377794,"M62 westbound Jct 27 to Jct 25, M606 southbound Jct 2 to Jct 26
Carriageway closure for electrical works
Diversion Local authority ",M62,Area Schemes,Electrical Works,00465722-001,14 Days,2026/03/04 06:00:00+00,2026/03/03 20:00:00+00,b5faa8e1-a359-46a8-b31b-020996eb4afe,1276.30450497306
7377795,"M62 westbound Jct 27 to Jct 25, M606 southbound Jct 2 to Jct 26
Carriageway closure for electrical works
Diversion Local authority ",M62,Area Schemes,Electrical Works,00465722-001,14 Days,2026/02/26 06:00:00+00,2026/02/25 20:00:00+00,6b9ebdbf-450b-4b6c-80a9-cd49f026bf20,1276.30450497306
7377796,"M62 westbound Jct 27 to Jct 25, M606 southbound Jct 2 to Jct 26
Carriageway closure for electrical works
Diversion Local authority ",M62,Area Schemes,Electrical Works,00465722-001,14 Days,2026/03/05 06:00:00+00,2026/03/04 20:00:00+00,c29e8682-5891-433c-9997-5453db249678,1276.30450497306
7377797,"M62 westbound Jct 27 to Jct 25, M606 southbound Jct 2 to Jct 26
Carriageway closure for electrical works
Diversion Local authority ",M62,Area Schemes,Electrical Works,00465722-001,14 Days,2026/02/27 06:00:00+00,2026/02/26 20:00:00+00,1e475f97-7c2f-45d1-8617-a93936b330c6,1276.30450497306
